File index,Travel time,Path distance,Travel time ratio,Path length ratio,Computation time
0, 23.75, 23.75, 1.0, 1.0, 0.0
1, 22.75, 22.75, 1.0, 1.0, 0.0
10, 22.25, 22.25, 1.0, 1.0, 0.0
11, 24.25, 24.0, 1.03, 1.02, 0.0
12, 25.75, 25.75, 1.0, 1.0, 0.0
13, 22.5, 22.25, 1.0125, 1.0, 0.0
14, 24.5, 24.5, 1.0, 1.0, 0.0
15, 22.0, 22.0, 1.0, 1.0, 0.0
16, 25.5, 25.5, 1.0192307692307692, 1.0192307692307692, 0.0
17, 22.5, 22.5, 1.0, 1.0, 0.0
18, 23.0, 23.0, 1.0, 1.0, 0.0
19, 23.0, 23.0, 1.0, 1.0, 0.0
2, 23.25, 23.25, 1.0, 1.0, 0.0
20, 23.0, 23.0, 1.0, 1.0, 0.0
