File index,Travel time,Path distance,Travel time ratio,Path length ratio,Travel time standard deviation,Number of failed instances,Computation time
0, 23.0, 23.0, 1.0, 1.0, 2.449489742783178, 0, 0.0
1, 23.666666666666668, 23.666666666666668, 1.0296442687747034, 1.0296442687747034, 1.247219128924647, 0, 0.0
10, 23.666666666666668, 23.5, 1.0072463768115942, 1.0, 1.247219128924647, 0, 0.0
100, 23.5, 23.5, 1.0, 1.0, 2.140872096444188, 0, 0.0
101, 23.666666666666668, 23.5, 1.0218253968253967, 1.0138888888888888, 2.0548046676563256, 0, 0.0
102, 22.833333333333332, 22.833333333333332, 1.0303030303030303, 1.0303030303030303, 1.0671873729054748, 0, 0.0
103, 23.333333333333332, 23.0, 1.029137529137529, 1.0151515151515151, 2.1343747458109497, 0, 0.0
104, 22.666666666666668, 22.5, 1.0072463768115942, 1.0, 2.2852182001336816, 0, 0.0
105, 24.5, 24.166666666666668, 1.0628174603174603, 1.0492063492063493, 0.9574271077563381, 0, 0.002608497937520345
106, 24.0, 24.0, 1.0666666666666667, 1.0666666666666667, 2.23606797749979, 0, 0.0
107, 23.333333333333332, 22.833333333333332, 1.0238095238095237, 1.0, 1.9720265943665387, 0, 0.0
108, 24.5, 23.833333333333332, 1.0631313131313131, 1.0317460317460319, 2.8722813232690143, 0, 0.0
109, 23.166666666666668, 23.166666666666668, 1.0, 1.0, 2.1147629234082532, 0, 0.0003705422083536784
11, 22.666666666666668, 22.5, 1.0069444444444444, 1.0, 2.9249881291307074, 0, 0.0
110, 25.0, 24.333333333333332, 1.0603957636566332, 1.031159420289855, 2.0, 0, 0.0
111, 25.833333333333332, 25.5, 1.083299785292539, 1.0691089640365004, 3.3374973990834644, 0, 0.0
112, 23.833333333333332, 23.833333333333332, 1.0, 1.0, 1.5723301886761007, 0, 0.0
113, 24.833333333333332, 24.833333333333332, 1.046897546897547, 1.046897546897547, 1.6749792701868151, 0, 0.0
114, 23.166666666666668, 23.166666666666668, 1.0151515151515151, 1.0151515151515151, 1.6749792701868151, 0, 0.0
115, 21.5, 21.5, 1.0158730158730158, 1.0158730158730158, 0.9574271077563381, 0, 0.0
116, 23.5, 22.833333333333332, 1.05, 1.0166666666666666, 2.29128784747792, 0, 0.0
117, 23.833333333333332, 23.833333333333332, 1.0166666666666666, 1.0166666666666666, 2.1147629234082532, 0, 0.0
118, 22.833333333333332, 22.666666666666668, 1.0583333333333333, 1.05, 2.1147629234082532, 0, 0.0
119, 22.5, 22.5, 1.0151515151515151, 1.0151515151515151, 1.118033988749895, 0, 0.0026096105575561523
12, 23.5, 23.333333333333332, 1.075, 1.0666666666666667, 0.9574271077563381, 0, 0.0
120, 23.0, 23.0, 1.0166666666666666, 1.0166666666666666, 2.160246899469287, 0, 0.002602696418762207
121, 25.666666666666668, 25.5, 1.0064102564102564, 1.0, 2.2852182001336816, 0, 0.0
122, 24.333333333333332, 24.333333333333332, 1.0, 1.0, 1.8856180831641267, 0, 0.0026035308837890625
123, 24.333333333333332, 24.333333333333332, 1.0, 1.0, 1.247219128924647, 0, 0.0
124, 22.666666666666668, 22.666666666666668, 1.0, 1.0, 1.5986105077709065, 0, 0.0
125, 23.666666666666668, 23.666666666666668, 1.031159420289855, 1.031159420289855, 2.7487370837451066, 0, 0.0
126, 23.333333333333332, 23.333333333333332, 1.0151515151515151, 1.0151515151515151, 1.9720265943665387, 0, 0.0
127, 22.333333333333332, 22.333333333333332, 1.05, 1.05, 1.247219128924647, 0, 0.0
128, 23.666666666666668, 23.666666666666668, 1.0166666666666666, 1.0166666666666666, 0.9428090415820634, 0, 0.0
129, 24.833333333333332, 24.666666666666668, 1.0197649572649572, 1.0128205128205128, 2.9107081994288304, 0, 0.002603809038798014
13, 23.5, 23.5, 1.0, 1.0, 1.5, 0, 0.0
130, 22.5, 22.5, 1.0, 1.0, 0.7637626158259734, 0, 0.0026034911473592124
131, 24.333333333333332, 23.666666666666668, 1.0666666666666667, 1.0333333333333332, 2.494438257849294, 0, 0.0
132, 24.0, 23.833333333333332, 1.0218181818181817, 1.0151515151515151, 1.7320508075688772, 0, 0.0
133, 25.333333333333332, 25.333333333333332, 1.0151515151515151, 1.0151515151515151, 1.699673171197595, 0, 0.0
134, 22.666666666666668, 22.5, 1.0239130434782608, 1.0166666666666666, 0.7453559924999298, 0, 0.0
135, 24.5, 23.833333333333332, 1.0659649122807018, 1.0308771929824563, 1.5, 0, 0.002603729565938314
136, 25.833333333333332, 25.833333333333332, 1.0, 1.0, 2.3392781412697, 0, 0.0
137, 24.166666666666668, 24.166666666666668, 1.065079365079365, 1.065079365079365, 1.5723301886761007, 0, 0.0
138, 24.166666666666668, 24.0, 1.0227272727272727, 1.0151515151515151, 2.793842435706702, 0, 0.0
139, 23.166666666666668, 23.166666666666668, 1.0, 1.0, 2.034425935955617, 0, 0.0
14, 24.0, 24.0, 1.0, 1.0, 2.309401076758503, 0, 0.0
140, 24.5, 24.5, 1.0, 1.0, 1.707825127659933, 0, 0.0
141, 24.333333333333332, 24.333333333333332, 1.0133333333333334, 1.0133333333333334, 1.5986105077709065, 0, 0.002603928248087565
142, 26.0, 25.0, 1.058982683982684, 1.0151515151515151, 2.449489742783178, 0, 0.0
143, 23.5, 23.333333333333332, 1.0209030100334449, 1.0144927536231885, 1.9790570145063195, 0, 0.0
144, 23.666666666666668, 23.666666666666668, 1.0303030303030303, 1.0303030303030303, 2.1343747458109497, 0, 0.0025982062021891275
145, 23.833333333333332, 23.666666666666668, 1.036231884057971, 1.0289855072463767, 2.4776781245530843, 0, 0.0
146, 23.333333333333332, 23.0, 1.0317460317460316, 1.0158730158730158, 1.3743685418725535, 0, 0.0
147, 24.166666666666668, 24.0, 1.0072463768115942, 1.0, 1.3437096247164249, 0, 0.0
