File index,Travel time,Path distance,Travel time ratio,Path length ratio,Computation time
0, 26.0, 26.0, 1.0, 1.0, 0.0
1, 22.0, 22.0, 1.0, 1.0, 0.0
10, 22.0, 22.0, 1.0, 1.0, 0.0
11, 24.0, 24.0, 1.0, 1.0, 0.0
12, 25.0, 25.0, 1.0, 1.0, 0.0
13, 22.0, 22.0, 1.0, 1.0, 0.0
14, 22.0, 22.0, 1.0, 1.0, 0.0
15, 21.0, 21.0, 1.0, 1.0, 0.0
16, 24.0, 24.0, 1.0, 1.0, 0.0
17, 22.0, 22.0, 1.0, 1.0, 0.0
18, 26.0, 26.0, 1.0, 1.0, 0.0
19, 26.0, 26.0, 1.0, 1.0, 0.0
2, 27.0, 27.0, 1.0, 1.0, 0.0
20, 25.0, 25.0, 1.0, 1.0, 0.0
21, 22.0, 22.0, 1.0, 1.0, 0.0
22, 27.0, 27.0, 1.0, 1.0, 0.0
23, 24.0, 24.0, 1.0, 1.0, 0.0
24, 26.0, 26.0, 1.0, 1.0, 0.0
25, 26.0, 26.0, 1.0, 1.0, 0.0
26, 22.0, 22.0, 1.0, 1.0, 0.0
27, 26.0, 26.0, 1.0, 1.0, 0.0
28, 24.0, 24.0, 1.0, 1.0, 0.0
29, 20.0, 20.0, 1.0, 1.0, 0.0
3, 22.0, 22.0, 1.0, 1.0, 0.0
30, 27.0, 27.0, 1.0, 1.0, 0.0
31, 22.0, 22.0, 1.0, 1.0, 0.0
32, 22.0, 22.0, 1.0, 1.0, 0.0
33, 23.0, 23.0, 1.0, 1.0, 0.0
34, 24.0, 24.0, 1.0, 1.0, 0.0
35, 26.0, 26.0, 1.0, 1.0, 0.0
36, 25.0, 25.0, 1.0, 1.0, 0.0
37, 21.0, 21.0, 1.0, 1.0, 0.0
38, 22.0, 22.0, 1.0, 1.0, 0.0
39, 23.0, 23.0, 1.0, 1.0, 0.0
4, 24.0, 24.0, 1.0, 1.0, 0.0
40, 25.0, 25.0, 1.0, 1.0, 0.0
41, 21.0, 21.0, 1.0, 1.0, 0.0
42, 21.0, 21.0, 1.0, 1.0, 0.0
43, 22.0, 22.0, 1.0, 1.0, 0.0
44, 25.0, 25.0, 1.0, 1.0, 0.0
45, 23.0, 23.0, 1.0, 1.0, 0.0
46, 23.0, 23.0, 1.0, 1.0, 0.0
47, 21.0, 21.0, 1.0, 1.0, 0.0
48, 22.0, 22.0, 1.0, 1.0, 0.0
49, 21.0, 21.0, 1.0, 1.0, 0.0
5, 20.0, 20.0, 1.0, 1.0, 0.0
50, 22.0, 22.0, 1.0, 1.0, 0.0
51, 23.0, 23.0, 1.0, 1.0, 0.0
52, 26.0, 26.0, 1.0, 1.0, 0.0
53, 25.0, 25.0, 1.0, 1.0, 0.0
54, 21.0, 21.0, 1.0, 1.0, 0.0
55, 22.0, 22.0, 1.0, 1.0, 0.0
56, 22.0, 22.0, 1.0, 1.0, 0.0
57, 22.0, 22.0, 1.0, 1.0, 0.0
58, 21.0, 21.0, 1.0, 1.0, 0.0
59, 23.0, 23.0, 1.0, 1.0, 0.0
6, 26.0, 26.0, 1.0, 1.0, 0.0
60, 24.0, 24.0, 1.0, 1.0, 0.0
61, 22.0, 22.0, 1.0, 1.0, 0.0
62, 24.0, 24.0, 1.0, 1.0, 0.0
63, 24.0, 24.0, 1.0, 1.0, 0.0
64, 20.0, 20.0, 1.0, 1.0, 0.0
65, 23.0, 23.0, 1.0, 1.0, 0.0
66, 22.0, 22.0, 1.0, 1.0, 0.0
67, 25.0, 25.0, 1.0, 1.0, 0.0
68, 23.0, 23.0, 1.0, 1.0, 0.0
69, 21.0, 21.0, 1.0, 1.0, 0.0
7, 27.0, 27.0, 1.0, 1.0, 0.0
70, 24.0, 24.0, 1.0, 1.0, 0.0
71, 20.0, 20.0, 1.0, 1.0, 0.0
72, 22.0, 22.0, 1.0, 1.0, 0.0
73, 25.0, 25.0, 1.0, 1.0, 0.0
74, 21.0, 21.0, 1.0, 1.0, 0.0
75, 24.0, 24.0, 1.0, 1.0, 0.0
76, 26.0, 26.0, 1.0, 1.0, 0.0
77, 24.0, 24.0, 1.0, 1.0, 0.0
78, 24.0, 24.0, 1.0, 1.0, 0.0
79, 23.0, 23.0, 1.0, 1.0, 0.0
8, 20.0, 20.0, 1.0, 1.0, 0.0
80, 22.0, 22.0, 1.0, 1.0, 0.0
81, 20.0, 20.0, 1.0, 1.0, 0.0
82, 20.0, 20.0, 1.0, 1.0, 0.0
83, 22.0, 22.0, 1.0, 1.0, 0.0
84, 21.0, 21.0, 1.0, 1.0, 0.0
85, 25.0, 25.0, 1.0, 1.0, 0.0
86, 23.0, 23.0, 1.0, 1.0, 0.0
87, 25.0, 25.0, 1.0, 1.0, 0.0
88, 22.0, 22.0, 1.0, 1.0, 0.0
89, 21.0, 21.0, 1.0, 1.0, 0.0
9, 24.0, 24.0, 1.0, 1.0, 0.0
90, 23.0, 23.0, 1.0, 1.0, 0.0
91, 23.0, 23.0, 1.0, 1.0, 0.0
92, 20.0, 20.0, 1.0, 1.0, 0.0
93, 24.0, 24.0, 1.0, 1.0, 0.0
94, 24.0, 24.0, 1.0, 1.0, 0.0
95, 21.0, 21.0, 1.0, 1.0, 0.0
96, 24.0, 24.0, 1.0, 1.0, 0.0
97, 21.0, 21.0, 1.0, 1.0, 0.0
98, 24.0, 24.0, 1.0, 1.0, 0.0
99, 21.0, 21.0, 1.0, 1.0, 0.0
