File index,Travel time,Path distance,Travel time ratio,Path length ratio,Travel time standard deviation,Number of failed instances,Computation time
0, 23.0, 23.0, 1.0, 1.0, 2.449489742783178, 0, 0.0
1, 23.333333333333332, 23.333333333333332, 1.0151515151515151, 1.0151515151515151, 1.1055415967851334, 0, 0.0
10, 23.666666666666668, 23.5, 1.0072463768115942, 1.0, 1.247219128924647, 0, 0.0
100, 23.5, 23.5, 1.0, 1.0, 2.140872096444188, 0, 0.0
101, 23.166666666666668, 23.166666666666668, 1.0, 1.0, 1.950783318453271, 0, 0.0
102, 22.833333333333332, 22.833333333333332, 1.0303030303030303, 1.0303030303030303, 1.0671873729054748, 0, 0.0
103, 22.833333333333332, 22.666666666666668, 1.0072463768115942, 1.0, 1.7716909687891083, 0, 0.0
104, 22.5, 22.5, 1.0, 1.0, 2.217355782608345, 0, 0.0
105, 23.833333333333332, 23.833333333333332, 1.0317460317460319, 1.0317460317460319, 1.7716909687891083, 0, 0.0
106, 22.666666666666668, 22.666666666666668, 1.0, 1.0, 1.7950549357115015, 0, 0.0
107, 23.0, 22.833333333333332, 1.007936507936508, 1.0, 2.160246899469287, 0, 0.0
108, 23.666666666666668, 23.5, 1.0231193926846103, 1.0158730158730158, 2.494438257849294, 0, 0.0
109, 23.166666666666668, 23.166666666666668, 1.0, 1.0, 2.1147629234082532, 0, 0.0
11, 22.666666666666668, 22.5, 1.0075757575757576, 1.0, 2.808716591058786, 0, 0.0
110, 24.0, 24.0, 1.0144927536231885, 1.0144927536231885, 2.309401076758503, 0, 0.0
111, 23.833333333333332, 23.833333333333332, 1.0, 1.0, 2.266911751455907, 0, 0.0
112, 23.833333333333332, 23.833333333333332, 1.0, 1.0, 1.5723301886761007, 0, 0.0
113, 23.833333333333332, 23.833333333333332, 1.0, 1.0, 2.3392781412697, 0, 0.0
114, 23.166666666666668, 23.166666666666668, 1.0151515151515151, 1.0151515151515151, 1.6749792701868151, 0, 0.0
115, 21.5, 21.5, 1.0158730158730158, 1.0158730158730158, 0.9574271077563381, 0, 0.0
116, 22.666666666666668, 22.5, 1.0083333333333333, 1.0, 2.1343747458109497, 0, 0.0
117, 23.5, 23.5, 1.0, 1.0, 2.5, 0, 0.0
118, 22.333333333333332, 22.333333333333332, 1.0289855072463767, 1.0289855072463767, 2.3570226039551585, 0, 0.0
119, 22.166666666666668, 22.166666666666668, 1.0, 1.0, 0.8975274678557508, 0, 0.0
120, 22.666666666666668, 22.666666666666668, 1.0, 1.0, 2.4267032964268394, 1, 0.0
121, 25.666666666666668, 25.5, 1.0064102564102564, 1.0, 2.2852182001336816, 1, 0.0
122, 24.333333333333332, 24.333333333333332, 1.0, 1.0, 1.8856180831641267, 1, 0.0
123, 24.333333333333332, 24.333333333333332, 1.0, 1.0, 1.247219128924647, 1, 0.0
124, 22.666666666666668, 22.666666666666668, 1.0, 1.0, 1.5986105077709065, 1, 0.0
125, 23.666666666666668, 23.666666666666668, 1.0277777777777777, 1.0277777777777777, 3.299831645537222, 1, 0.0
126, 23.333333333333332, 23.0, 1.0151515151515151, 1.0, 1.9720265943665387, 1, 0.0
127, 22.166666666666668, 22.0, 1.039484126984127, 1.0325396825396826, 1.5723301886761007, 1, 0.0
128, 23.333333333333332, 23.333333333333332, 1.0, 1.0, 1.5986105077709065, 1, 0.0
129, 24.5, 24.333333333333332, 1.0075757575757576, 1.0, 2.5, 1, 0.0
13, 23.5, 23.5, 1.0, 1.0, 1.5, 1, 0.0
130, 22.5, 22.5, 1.0, 1.0, 0.7637626158259734, 1, 0.0
131, 23.333333333333332, 23.333333333333332, 1.0133333333333334, 1.0133333333333334, 3.496029493900505, 1, 0.0
132, 24.0, 23.833333333333332, 1.0238095238095237, 1.0158730158730158, 1.2909944487358056, 1, 0.0
133, 25.0, 25.0, 1.0, 1.0, 2.0816659994661326, 1, 0.0
134, 22.666666666666668, 22.166666666666668, 1.0242424242424242, 1.0, 0.4714045207910317, 1, 0.0
135, 23.5, 23.5, 1.0133333333333334, 1.0133333333333334, 2.5, 1, 0.0
136, 25.833333333333332, 25.833333333333332, 1.0, 1.0, 2.3392781412697, 1, 0.0
137, 23.333333333333332, 23.166666666666668, 1.0222832722832724, 1.0158730158730158, 2.3570226039551585, 1, 0.0
138, 23.666666666666668, 23.666666666666668, 1.0, 1.0, 2.8674417556808756, 1, 0.0
139, 23.166666666666668, 23.166666666666668, 1.0, 1.0, 2.034425935955617, 1, 0.0
14, 24.0, 24.0, 1.0, 1.0, 2.309401076758503, 1, 0.0
140, 24.5, 24.5, 1.0, 1.0, 1.707825127659933, 1, 0.0
141, 24.0, 24.0, 1.0, 1.0, 1.1547005383792515, 1, 0.0
142, 24.833333333333332, 24.666666666666668, 1.0064102564102564, 1.0, 2.266911751455907, 1, 0.0
143, 23.0, 23.0, 1.0, 1.0, 1.5275252316519468, 1, 0.0
144, 23.333333333333332, 23.333333333333332, 1.0151515151515151, 1.0151515151515151, 1.8856180831641267, 1, 0.0
145, 23.0, 23.0, 1.0, 1.0, 1.632993161855452, 1, 0.0
146, 22.666666666666668, 22.666666666666668, 1.0, 1.0, 1.699673171197595, 1, 0.0
147, 24.0, 24.0, 1.0, 1.0, 1.4142135623730951, 1, 0.0
148, 22.833333333333332, 22.666666666666668, 1.0075757575757576, 1.0, 1.0671873729054748, 1, 0.0
149, 24.833333333333332, 24.833333333333332, 1.0, 1.0, 2.266911751455907, 1, 0.0
15, 22.833333333333332, 22.833333333333332, 1.0151515151515151, 1.0151515151515151, 1.6749792701868151, 1, 0.0
150, 23.333333333333332, 23.166666666666668, 1.0066666666666666, 1.0, 1.49071198499986, 1, 0.0
151, 22.5, 22.5, 1.0454545454545454, 1.0454545454545454, 1.9790570145063195, 1, 0.0
152, 22.833333333333332, 22.833333333333332, 1.0, 1.0, 1.7716909687891083, 1, 0.0
153, 23.166666666666668, 23.166666666666668, 1.0333333333333334, 1.0333333333333334, 1.5723301886761007, 1, 0.0
154, 22.333333333333332, 22.166666666666668, 1.0386904761904763, 1.0317460317460319, 1.9720265943665387, 1, 0.0
155, 22.833333333333332, 22.833333333333332, 1.0, 1.0, 1.21335164821342, 1, 0.0
156, 24.0, 24.0, 1.0350877192982455, 1.0350877192982455, 2.3804761428476167, 1, 0.0
157, 24.5, 24.5, 1.0138888888888888, 1.0138888888888888, 2.6299556396765835, 1, 0.0
158, 21.666666666666668, 21.666666666666668, 1.0, 1.0, 1.1055415967851334, 1, 0.0
159, 23.166666666666668, 23.166666666666668, 1.0, 1.0, 1.950783318453271, 1, 0.0
16, 23.0, 23.0, 1.0158730158730158, 1.0158730158730158, 1.9148542155126762, 1, 0.0
160, 22.833333333333332, 22.833333333333332, 1.0151515151515151, 1.0151515151515151, 1.950783318453271, 1, 0.0
161, 23.0, 23.0, 1.0144927536231885, 1.0144927536231885, 1.9148542155126762, 1, 0.0
162, 23.666666666666668, 23.666666666666668, 1.0, 1.0, 2.2852182001336816, 1, 0.0
163, 24.166666666666668, 24.166666666666668, 1.0, 1.0, 2.6718699236468995, 1, 0.0
164, 23.5, 23.333333333333332, 1.0064102564102564, 1.0, 1.9790570145063195, 1, 0.0
165, 22.333333333333332, 22.333333333333332, 1.0, 1.0, 1.247219128924647, 1, 0.0
166, 22.833333333333332, 22.833333333333332, 1.0272222222222223, 1.0272222222222223, 2.6718699236468995, 1, 0.0
167, 24.166666666666668, 24.166666666666668, 1.0, 1.0, 2.1147629234082532, 1, 0.0
168, 24.666666666666668, 24.5, 1.0072463768115942, 1.0, 0.7453559924999298, 1, 0.0
169, 22.333333333333332, 22.333333333333332, 1.0158730158730158, 1.0158730158730158, 0.4714045207910317, 1, 0.0
17, 23.833333333333332, 23.666666666666668, 1.0075757575757576, 1.0, 2.793842435706702, 1, 0.0
170, 24.666666666666668, 24.666666666666668, 1.0, 1.0, 1.8856180831641267, 1, 0.0
171, 23.0, 23.0, 1.0, 1.0, 3.0550504633038935, 1, 0.0
172, 22.5, 22.5, 1.0, 1.0, 1.3844373104863459, 1, 0.0
173, 22.0, 22.0, 1.0158730158730158, 1.0158730158730158, 1.4142135623730951, 1, 0.0
174, 23.833333333333332, 23.833333333333332, 1.0166666666666666, 1.0166666666666666, 1.5723301886761007, 1, 0.0
175, 23.333333333333332, 23.333333333333332, 1.0303030303030303, 1.0303030303030303, 2.0548046676563256, 1, 0.0
176, 24.333333333333332, 24.166666666666668, 1.0069444444444444, 1.0, 0.7453559924999298, 1, 0.0
177, 22.666666666666668, 22.666666666666668, 1.0, 1.0, 2.1343747458109497, 1, 0.0
178, 23.5, 23.5, 1.0, 1.0, 2.217355782608345, 1, 0.0
179, 22.5, 22.5, 1.0, 1.0, 1.6072751268321592, 1, 0.0
18, 24.0, 24.0, 1.0, 1.0, 1.8257418583505538, 1, 0.0
180, 24.5, 24.5, 1.0123456790123457, 1.0123456790123457, 2.5, 1, 0.0
181, 24.166666666666668, 24.166666666666668, 1.0, 1.0, 2.266911751455907, 1, 0.0
182, 23.166666666666668, 23.166666666666668, 1.0158730158730158, 1.0158730158730158, 2.4094720491334933, 1, 0.0
183, 23.5, 23.5, 1.0, 1.0, 2.140872096444188, 1, 0.0
184, 23.333333333333332, 23.333333333333332, 1.0, 1.0, 0.7453559924999298, 1, 0.0
185, 22.833333333333332, 22.833333333333332, 1.0, 1.0, 1.5723301886761007, 1, 0.0
186, 24.0, 23.833333333333332, 1.021135265700483, 1.0138888888888888, 2.0816659994661326, 1, 0.0
187, 22.833333333333332, 22.833333333333332, 1.032695374800638, 1.032695374800638, 1.0671873729054748, 1, 0.0
188, 22.666666666666668, 22.666666666666668, 1.0158730158730158, 1.0158730158730158, 1.699673171197595, 1, 0.0
189, 23.166666666666668, 23.166666666666668, 1.0, 1.0, 2.544056253745625, 1, 0.0
19, 24.5, 24.5, 1.0, 1.0, 1.8929694486000912, 1, 0.0
190, 23.5, 23.5, 1.0, 1.0, 1.2583057392117916, 1, 0.0
191, 23.666666666666668, 23.666666666666668, 1.0, 1.0, 1.1055415967851334, 1, 0.0
192, 22.5, 22.5, 1.0303030303030303, 1.0303030303030303, 2.5, 1, 0.0
193, 22.833333333333332, 22.833333333333332, 1.0151515151515151, 1.0151515151515151, 1.462494064565354, 1, 0.0
194, 22.833333333333332, 22.833333333333332, 1.0144927536231885, 1.0144927536231885, 1.6749792701868151, 1, 0.0
195, 23.0, 23.0, 1.0, 1.0, 2.160246899469287, 1, 0.0
196, 24.0, 23.833333333333332, 1.0075757575757576, 1.0, 1.9148542155126762, 1, 0.0
197, 22.666666666666668, 22.5, 1.0220959595959596, 1.0151515151515151, 1.7950549357115015, 1, 0.0
198, 23.0, 22.833333333333332, 1.0069444444444444, 1.0, 1.4142135623730951, 1, 0.0
199, 24.666666666666668, 24.666666666666668, 1.0, 1.0, 2.4267032964268394, 1, 0.0
2, 22.0, 21.833333333333332, 1.0075757575757576, 1.0, 1.1547005383792515, 1, 0.0
200, 24.0, 24.0, 1.0, 1.0, 2.70801280154532, 2, 0.0
201, 24.333333333333332, 24.333333333333332, 1.0, 1.0, 2.1343747458109497, 2, 0.0
202, 24.833333333333332, 24.0, 1.0583333333333333, 1.0166666666666666, 2.4776781245530843, 2, 0.0
203, 23.166666666666668, 23.166666666666668, 1.0166666666666666, 1.0166666666666666, 2.1921577396609844, 2, 0.0
204, 23.166666666666668, 23.166666666666668, 1.0151515151515151, 1.0151515151515151, 1.2133516482134197, 2, 0.0
